run,lambda_name,lambda,seed,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_mean,latent_std,latent_abs_mean,latent_range,bin_width,rate_loc_mean,rate_loc_std,rate_scale_mean,rate_scale_std,rate_grad_norm,sha256,path
CTRL@s42,CTRL,0.0,42,604,1,41,0.001300053908391463,29.552537159747388,2.2428007815257613,0.001300053908391463,0.820804238319397,10.110733985900879,6.680225372314453,116.54843139648438,4.148385524749756,0.0,0.0,1.0,0.0,0.0,507f0970faa6f54ec8417ab13e9e8df0221c34203cf094d9a26f0728df6eabfb,outputs\m10e_lambda_lock\lambda_0.0e00_seed42\snapshot_step000604.pt
CTRL@s42,CTRL,0.0,42,1812,3,43,0.0012983368956540004,29.54936289500041,2.1989897360284645,0.0012983368956540004,0.705614447593689,11.304281234741211,7.38501501083374,121.89486694335938,4.191563129425049,0.0,0.0,1.0,0.0,0.0,a8369294403e9e5a93ecd1b74cc90fb0f46361a061feca7765191c83010a6fd6,outputs\m10e_lambda_lock\lambda_0.0e00_seed42\snapshot_step001812.pt
CTRL@s42,CTRL,0.0,42,4832,8,48,0.0012702892467110272,29.648403305605232,2.209372826369412,0.0012702892467110272,0.9453172087669373,12.22642707824707,8.22713851928711,122.74703979492188,4.213925361633301,0.0,0.0,1.0,0.0,0.0,9cdac856f6c10d1535e4919a94b84b3bfe77c1181c6278d69c81671849a503a5,outputs\m10e_lambda_lock\lambda_0.0e00_seed42\snapshot_step004832.pt
CTRL@s42,CTRL,0.0,42,10268,17,57,0.001228914430283616,29.803608721997364,2.1962032289390105,0.001228914430283616,0.7985690832138062,11.610259056091309,7.44876766204834,119.08776092529297,4.246036529541016,0.0,0.0,1.0,0.0,0.0,9ddd7b48627baa0df91afc380db231046b6bf2e6cc15ee9ddc414109142e4b77,outputs\m10e_lambda_lock\lambda_0.0e00_seed42\snapshot_step010268.pt
CTRL@s42,CTRL,0.0,42,18120,30,70,0.0012063769552104894,29.85428741179317,2.1754024402204766,0.0012063769552104894,1.1468114852905273,11.13463020324707,7.631320953369141,138.36459350585938,4.357326507568359,0.0,0.0,1.0,0.0,0.0,bb6a8c1b17b95407223e1dc0886767692f51a52d929944aa7fafbd9bb18cb2c7,outputs\m10e_lambda_lock\lambda_0.0e00_seed42\snapshot_step018120.pt
CTRL@s43,CTRL,0.0,43,604,1,41,0.001298178704413417,29.558696540005236,2.238777355975415,0.001298178704413417,1.2663096189498901,9.539349555969238,6.806245803833008,113.6913070678711,4.149459362030029,0.0,0.0,1.0,0.0,0.0,cb4551ff4f9e5b83ea068dc0904f34aef4aee0bad582405bc38951d1e643f446,outputs\m10e_lambda_lock\lambda_0.0e00_seed43\snapshot_step000604.pt
CTRL@s43,CTRL,0.0,43,1812,3,43,0.0013814264451187238,29.191082046692628,2.2184184875832984,0.0013814264451187238,0.9395091533660889,9.18700885772705,6.227146148681641,112.80111694335938,4.159557342529297,0.0,0.0,1.0,0.0,0.0,01ee0fb35a648254922fac6761445578ead8545a426262ee0b52d58ecc6b48ee,outputs\m10e_lambda_lock\lambda_0.0e00_seed43\snapshot_step001812.pt
CTRL@s43,CTRL,0.0,43,4832,8,48,0.0012670949049552072,29.6657542952572,2.197662870567965,0.0012670949049552072,0.7951886057853699,11.973488807678223,7.593687057495117,175.2610321044922,4.255573272705078,0.0,0.0,1.0,0.0,0.0,b8645dda2d2a06e07cd5a51f720a79c2789e1b9d020013ea6e2ce523e9ed2c75,outputs\m10e_lambda_lock\lambda_0.0e00_seed43\snapshot_step004832.pt
CTRL@s43,CTRL,0.0,43,10268,17,57,0.0012543248910322246,29.682943895638708,2.1951330225151704,0.0012543248910322246,1.0572972297668457,12.208189010620117,7.83967924118042,141.79617309570312,4.286520481109619,0.0,0.0,1.0,0.0,0.0,6ff82093638cf9355be87394c7ffc720f5a0f406854643dd42bb5198c78871e5,outputs\m10e_lambda_lock\lambda_0.0e00_seed43\snapshot_step010268.pt
CTRL@s43,CTRL,0.0,43,18120,30,70,0.0011964235517914485,29.905353982764556,2.1817071409110564,0.0011964235517914485,1.0871999263763428,9.416438102722168,6.532817840576172,109.89933776855469,4.368882656097412,0.0,0.0,1.0,0.0,0.0,8223c1b2849c26368e0974e986e60221caa6cc71be32adaba635acc8c99673bd,outputs\m10e_lambda_lock\lambda_0.0e00_seed43\snapshot_step018120.pt
