run,lambda_name,lambda,seed,step,own_epoch,global_epoch,val_distortion,val_psnr_db,val_rate_bpp_proxy,val_total_objective,latent_mean,latent_std,latent_abs_mean,latent_range,bin_width,rate_loc_mean,rate_loc_std,rate_scale_mean,rate_scale_std,rate_grad_norm,sha256,path
VERY_LOW@s42,VERY_LOW,0.0001,42,4832,8,48,0.0012656561672653869,29.671744197247975,0.7325951622193119,0.0013389156770847559,0.8179753422737122,9.635224342346191,6.422521114349365,102.0056381225586,3.4709384441375732,0.8423431515693665,4.535253524780273,4.875021934509277,3.223179340362549,5.798418500128362e-07,ddcee5f401313a02ab6d39c09ed5dc88c14cf1cf47f9fe93b36eedee5bacd56b,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed42\snapshot_step004832.pt
VERY_LOW@s42,VERY_LOW,0.0001,42,10268,17,57,0.0012337075569526662,29.780799291220056,0.7154898708125195,0.0013052565361238477,0.5729812383651733,8.047236442565918,5.0489678382873535,89.73555755615234,3.083465576171875,0.8479900360107422,4.358985900878906,4.021450519561768,2.7433533668518066,8.788421570790792e-07,722891f276fdec791b8158811d6defc4784eed0555c58ecd857d25a2ed4e5748,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed42\snapshot_step010268.pt
VERY_LOW@s42,VERY_LOW,0.0001,42,18120,30,70,0.0011943150658850525,29.912306475352093,0.6948568210544357,0.0012638007489829716,0.9910988807678223,7.187085151672363,4.8116936683654785,93.29084777832031,2.8592119216918945,0.8250328302383423,4.150005340576172,3.6064305305480957,2.538374900817871,3.474110868510032e-07,07e2e0c2be69b8d25245f535f86f9dd6998bd1c1e364af234c8dc8a106087302,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed42\snapshot_step018120.pt
VERY_LOW@s43,VERY_LOW,0.0001,43,604,1,41,0.001296843778333593,29.566681298864893,0.7826372191130396,0.0013751075013978295,1.1884047985076904,9.101652145385742,6.497921466827393,109.263427734375,4.017702102661133,0.14885973930358887,1.5890767574310303,6.067723751068115,3.494907855987549,7.310658738095567e-07,507e12d7b1283374c30be879f51258863dd5e6c78c84a0b26b7c622c12ac6160,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed43\snapshot_step000604.pt
VERY_LOW@s43,VERY_LOW,0.0001,43,1812,3,43,0.0013293634057998747,29.421909378235597,0.7583094727562134,0.0014051943452866097,0.7641754150390625,8.10290813446045,5.553384780883789,99.29810333251953,3.802919387817383,0.49546658992767334,3.2051031589508057,5.687173366546631,3.5310447216033936,9.91678929107611e-07,3a31e9eea5aefa8ab12d9c6eeb37596c804090005aea6a9007b6b0dea90c6838,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed43\snapshot_step001812.pt
VERY_LOW@s43,VERY_LOW,0.0001,43,4832,8,48,0.0012703230730762862,29.65219566620976,0.730138877788222,0.0013433369609431914,0.6261186599731445,9.417647361755371,5.9681220054626465,143.67791748046875,3.496279239654541,0.828254222869873,4.565104007720947,4.7011847496032715,2.957261085510254,6.379335405218809e-07,7b9cc5b82fbba7ada410e35f7f2374f99a35eb89beb68734e725311f05b691b9,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed43\snapshot_step004832.pt
VERY_LOW@s43,VERY_LOW,0.0001,43,10268,17,57,0.0012685309023265335,29.62177936140313,0.7157106392354851,0.0013401019551751978,0.8621525764465332,8.361031532287598,5.265376091003418,107.1082763671875,3.101534366607666,0.8539846539497375,4.368203163146973,4.030972480773926,2.62222957611084,7.02994228414817e-07,bc4ff22c5c9bfbfea7f73948c01e592d997c3950def7c23e471c110c6a708c04,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed43\snapshot_step010268.pt
VERY_LOW@s43,VERY_LOW,0.0001,43,18120,30,70,0.0011892755335640073,29.93950092361634,0.6952221702380352,0.0012587977423197982,0.8742406368255615,6.372501373291016,4.344686508178711,80.39337158203125,2.854170799255371,0.8130472302436829,4.200850486755371,3.5828709602355957,2.6573240756988525,6.18878213701283e-07,f95d74f2b1b8e41d860ece9ae3c99e88d2a43ffa808a2d4d0ea28e4c3bad4f59,outputs\m10f_lambda_boundary\lambda_1.0e-04_seed43\snapshot_step018120.pt
LOW@s42,LOW,0.0002,42,604,1,41,0.0012987520617954657,29.560138932193617,0.7740047617130968,0.0014535530108442329,0.6964828968048096,9.154058456420898,6.051507949829102,107.91740417480469,3.888798236846924,0.16282007098197937,1.6965495347976685,5.8068647384643555,3.3750014305114746,1.3116939275592795e-06,5eadd643befeeb44a8a40b613263b855d4412ab40e71713492d191cfe021600b,outputs\m10f_lambda_boundary\lambda_2.0e-04_seed42\snapshot_step000604.pt
LOW@s42,LOW,0.0002,42,1812,3,43,0.001349269275354356,29.31902485583202,0.7375049440257521,0.0014967702655963241,0.4615286886692047,8.837170600891113,5.757193565368652,101.99342346191406,3.5305986404418945,0.5283297896385193,3.3329522609710693,5.054462909698486,3.1964526176452637,1.541336284725943e-06,1cdd37338b9816c2f602eca37c4fbd7d8e7cc65460cff273b7ceeb9cf6a3f25b,outputs\m10f_lambda_boundary\lambda_2.0e-04_seed42\snapshot_step001812.pt
