model,lambda,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,compression_ratio,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
M10A-CTRL,0.0,8,1.859216766994089,29.83863904048405,0.9732329508857037,15230.703755215578,12.90866155365105,10950876,719,0.004714268150777259,0.005867634214942055
M10A-CTRL,0.0,6,1.3571225565564151,29.710358621016333,0.9713143077944515,11117.547983310153,17.68447505647389,7993517,719,0.003524596800785434,0.004231805285697632
M10A-CTRL,0.0,4,0.8455545693345793,27.92168913564032,0.9373061791248879,6926.7830319888735,28.383738756077125,4980357,719,0.0030285991652692526,0.00345850556280745
M10A-L,0.00090757,8,1.8368935193736962,29.771178931287995,0.9737679774306911,15047.831710709319,13.065536868017803,10819391,719,0.004613201947518792,0.00575212322676461
M10A-L,0.00090757,6,1.3343188374695758,29.6773188541927,0.9723184968400566,10930.739916550765,17.98670552048414,7859202,719,0.0035435147425619644,0.004258296245173778
M10A-L,0.00090757,4,0.823594816205233,28.397751217923012,0.9480683230723724,6746.888734353269,29.14054281033673,4851013,719,0.003113321697552169,0.0035086917935097293
M10B-1,0.0003,8,1.8506794851247392,29.846446391438576,0.9735887662425989,15160.766342141864,12.968209888803276,10900591,719,0.01025164840049635,0.00945701905436683
M10B-1,0.0003,6,1.3482993686978442,29.715814057245375,0.971636225600236,11045.26842837274,17.80020116984749,7941548,719,0.008038989012218656,0.007116355909650202
M10B-1,0.0003,4,0.8374402042224444,28.15602737076591,0.9423183921481041,6860.310152990264,28.65876259461866,4932563,719,0.007347185396508706,0.006098348122677521
M10B-2,0.0001,8,1.8561847034183763,29.842968313352454,0.9733379517211702,15205.865090403338,12.929747753982273,10933017,719,0.009280840472698079,0.008936846592840487
M10B-2,0.0001,6,1.3537504278403165,29.693224751733773,0.9711634165222688,11089.923504867873,17.728526253016966,7973655,719,0.007721805701926688,0.006568667037444583
M10B-2,0.0001,4,0.8428442348856919,28.03040956754512,0.9392683890665026,6904.579972183588,28.475012352970445,4964393,719,0.006985037134227152,0.005782310848611035
M10B-3,3e-05,8,1.8583228863330146,29.844573542206277,0.9733224422444223,15223.381084840055,12.914870809861597,10945611,719,0.009143914742332459,0.00889637121032588
M10B-3,3e-05,6,1.3561251113743047,29.71364157654148,0.9713912680019755,11109.376912378304,17.697482185606216,7987642,719,0.0075886171064303955,0.006639384701349339
M10B-3,3e-05,4,0.8450291067237483,27.988701230130044,0.9383068732160852,6922.478442280946,28.401388554590856,4977262,719,0.007134838943294883,0.005760096384204927
