name,role,lambda,checkpoint_dir,best_checkpoint,best_checkpoint_sha256,start_checkpoint_sha256,model_learning_rate,rate_lr,scale_momentum,seed,steps,epochs_run,best_epoch,best_selection_value,best_selection_used_only_current_objective,stale_history_records_ignored,train_distortion_first_epoch,train_distortion_last_epoch,train_rate_proxy_first_epoch,train_rate_proxy_last_epoch,train_total_first_epoch,train_total_last_epoch,step1_latent_abs_mean,final_latent_abs_mean,step1_latent_range,final_latent_range,step1_bin_width,final_bin_width,step1_rate_proxy,final_rate_proxy,elapsed_seconds,val_distortion,val_rate_bpp_proxy,val_total_objective,val_psnr_db,val_batches,rate_estimator_state_restored,final_bin_width_mean,final_bin_width_min,final_bin_width_max,model_grad_norm,rate_grad_norm,all_finite
CTRL,control (distortion-only),0.0,outputs\m10a_pilot\control_lambda0,outputs\m10a_pilot\control_lambda0\best.pt,ac7bb97591ad81e2d22609bba290d3b342a2a00199ab4bcdb177f0d3e4fcdefb,90d51157356953db85d01441508526e02cf00645992c7815df755913aadaa776,0.0001,0.01,0.99,42,500,5,45,0.001293843492503693,True,40,0.001647972302744165,0.0012635076174046843,2.4332451117038727,2.0768413043022154,0.001647972302744165,0.0012635076174046843,7.046026229858398,7.803115367889404,124.72288513183594,137.8631591796875,0.6799248456954956,4.123004913330078,2.781512975692749,2.1585824489593506,40.150161027908325,0.0012938434988153673,2.2408511150314148,0.0012938434988153673,29.582116942807854,83,True,4.123004913330078,2.100452184677124,7.701663970947266,0.00650965947175377,0.0,True
M10A-L,quality-preserving,0.00090757,outputs\m10a_pilot\lambda_9e-4,outputs\m10a_pilot\lambda_9e-4\best.pt,12f46c113ba9fc5cc34802d527d7031d1277328b0e6fade029a0af756e366c65,90d51157356953db85d01441508526e02cf00645992c7815df755913aadaa776,0.0001,0.01,0.99,42,500,5,45,0.001982428207825196,True,40,0.0015283991891192272,0.0012841266772011294,1.747556698322296,0.709215275645256,0.0031144292303360997,0.001927789191249758,7.046026229858398,5.262991428375244,124.72288513183594,97.33572387695312,0.6799248456954956,3.210078239440918,2.781512975692749,0.7100722193717957,26.822347402572632,0.0013158159110981252,0.7345023399376007,0.0019824281997552935,29.500526772924218,83,True,3.210078239440918,1.5401482582092285,5.665804862976074,0.008181448588027216,1.4830806212328895e-05,True
M10A-M,balanced,0.00287,outputs\m10a_pilot\lambda_2.87e-3,outputs\m10a_pilot\lambda_2.87e-3\best.pt,4b01eb1e18701148c10bfab8d0b4bc46e4105678c6c9f62a9348d3cb38567aa7,90d51157356953db85d01441508526e02cf00645992c7815df755913aadaa776,0.0001,0.01,0.99,42,500,5,44,0.003374249236770423,True,40,0.0014517805533250793,0.001391897926805541,1.5943204700946807,0.6493288040161133,0.006027480263728648,0.0032554715732112526,7.046026229858398,3.010119915008545,124.72288513183594,58.68497085571289,0.6799248456954956,2.1381187438964844,2.781512975692749,0.6427875757217407,26.83339834213257,0.0014161930573088712,0.6822495288159474,0.00337424920501064,29.143421816538616,83,True,2.3114309310913086,1.1625264883041382,3.7974166870117188,0.018647912025987503,3.931354450287061e-05,True
M10A-H,aggressive,0.0090757,outputs\m10a_pilot\lambda_9e-3,outputs\m10a_pilot\lambda_9e-3\best.pt,8bd4c6f812a4c505267f7b9707409ab056d7a14030e737ee04b644cc25907edf,90d51157356953db85d01441508526e02cf00645992c7815df755913aadaa776,0.0001,0.01,0.99,42,500,5,44,0.007340947469045599,True,40,0.0016955921438056975,0.0017229806003160775,1.4203666186332702,0.5915879279375076,0.014586413856595754,0.007092055357061327,7.046026229858398,1.6773014068603516,124.72288513183594,32.697967529296875,0.6799248456954956,1.3208177089691162,2.781512975692749,0.5832516551017761,26.71121907234192,0.0017229232502994633,0.6190182581005326,0.007340947255342468,28.19212182745876,83,True,1.5586527585983276,0.858137845993042,2.443981409072876,0.024453965476979776,0.00010058645290484136,True
