model,bits,aggregate_bpp,mean_psnr,mean_msssim,bytes_per_frame,total_bytes,total_frames,encode_seconds_per_frame,decode_seconds_per_frame
M10A-CTRL,8,1.859216766994089,29.83863904048405,0.9732329508857037,15230.703755215578,10950876,719,0.004714268150777259,0.005867634214942055
M10A-CTRL,6,1.3571225565564151,29.710358621016333,0.9713143077944515,11117.547983310153,7993517,719,0.003524596800785434,0.004231805285697632
M10A-CTRL,4,0.8455545693345793,27.92168913564032,0.9373061791248879,6926.7830319888735,4980357,719,0.0030285991652692526,0.00345850556280745
M10A-L,8,1.8368935193736962,29.771178931287995,0.9737679774306911,15047.831710709319,10819391,719,0.004613201947518792,0.00575212322676461
M10A-L,6,1.3343188374695758,29.6773188541927,0.9723184968400566,10930.739916550765,7859202,719,0.0035435147425619644,0.004258296245173778
M10A-L,4,0.823594816205233,28.397751217923012,0.9480683230723724,6746.888734353269,4851013,719,0.003113321697552169,0.0035086917935097293
M10A-M,8,1.8136234203863872,29.31270317374748,0.9714982116670038,14857.203059805284,10682329,719,0.004727915020101614,0.00589390695426174
M10A-M,6,1.3109483997413942,29.24963777088489,0.9703674098380916,10739.289290681501,7721549,719,0.003506537969717989,0.004302341445445981
M10A-M,4,0.8010072243893428,28.299295451942836,0.9516120562135593,6561.851182197496,4717971,719,0.0031095197493429343,0.0034900357446361915
M10A-H,8,1.792425630487222,28.20211633355959,0.9624121874695195,14683.550764951322,10557473,719,0.004595757301426292,0.005792292628849511
M10A-H,6,1.2896669093358832,28.151446418072485,0.9612676890901133,10564.951321279555,7596200,719,0.003595793324261023,0.004277866063733431
M10A-H,4,0.7808826006171766,27.409426823113325,0.94266730323123,6396.990264255911,4599436,719,0.0031489161334518003,0.0034506140470761232
